# Timestep Metrics Log
# Format: step | avg_loss | avg_1-cos_sim
#======================================================================
Step 75400: loss=0.168549, 1-cos=0.075385
Step 75600: loss=0.157677, 1-cos=0.064751
Step 75800: loss=0.177418, 1-cos=0.074883
Step 76000: loss=0.181593, 1-cos=0.076946
Step 76200: loss=0.165998, 1-cos=0.069092
Step 76400: loss=0.177453, 1-cos=0.074322
Step 76600: loss=0.188933, 1-cos=0.081486
Step 76800: loss=0.157678, 1-cos=0.065987
Step 77000: loss=0.152982, 1-cos=0.065337
Step 77200: loss=0.174493, 1-cos=0.073738
Step 77400: loss=0.160404, 1-cos=0.067155
Step 77600: loss=0.170671, 1-cos=0.071456
Step 77800: loss=0.163377, 1-cos=0.068844
Step 78000: loss=0.192914, 1-cos=0.082365
Step 78200: loss=0.144209, 1-cos=0.061142
Step 78400: loss=0.165607, 1-cos=0.070698
Step 78600: loss=0.177947, 1-cos=0.075927
Step 78800: loss=0.178059, 1-cos=0.073660
Step 79000: loss=0.166785, 1-cos=0.070455
Step 79200: loss=0.148859, 1-cos=0.061584
Step 79400: loss=0.168148, 1-cos=0.070167
Step 79600: loss=0.171743, 1-cos=0.074267
Step 79800: loss=0.157881, 1-cos=0.065522
Step 80000: loss=0.165052, 1-cos=0.068349
Step 80200: loss=0.159197, 1-cos=0.067163
Step 80400: loss=0.186954, 1-cos=0.078495
Step 80600: loss=0.189256, 1-cos=0.078153
Step 80800: loss=0.185424, 1-cos=0.077619
Step 81000: loss=0.173819, 1-cos=0.072383
Step 81200: loss=0.180447, 1-cos=0.076371
Step 81400: loss=0.190533, 1-cos=0.079928
Step 81600: loss=0.173735, 1-cos=0.071415
Step 81800: loss=0.190980, 1-cos=0.082035
Step 82000: loss=0.201260, 1-cos=0.088079
Step 82200: loss=0.165328, 1-cos=0.070841
Step 82400: loss=0.184843, 1-cos=0.079831
Step 82600: loss=0.204887, 1-cos=0.086617
Step 82800: loss=0.181937, 1-cos=0.078052
Step 83000: loss=0.204677, 1-cos=0.089220
Step 83200: loss=0.171529, 1-cos=0.070486
Step 83400: loss=0.178920, 1-cos=0.074551
Step 83600: loss=0.169352, 1-cos=0.073686
Step 83800: loss=0.168890, 1-cos=0.069385
Step 84000: loss=0.174469, 1-cos=0.075542
Step 84200: loss=0.175072, 1-cos=0.073940
Step 84400: loss=0.168140, 1-cos=0.070693
Step 84600: loss=0.187427, 1-cos=0.078678
Step 84800: loss=0.189816, 1-cos=0.079851
Step 85000: loss=0.146051, 1-cos=0.060080
Step 85200: loss=0.187794, 1-cos=0.080615
Step 85400: loss=0.180794, 1-cos=0.074597
Step 85600: loss=0.174485, 1-cos=0.072454
Step 85800: loss=0.183061, 1-cos=0.080676
Step 86000: loss=0.166776, 1-cos=0.066539
Step 86200: loss=0.182454, 1-cos=0.077755
Step 86400: loss=0.168134, 1-cos=0.069394
Step 86600: loss=0.173399, 1-cos=0.075354
Step 86800: loss=0.168373, 1-cos=0.069811
Step 87000: loss=0.190027, 1-cos=0.079660
Step 87200: loss=0.171144, 1-cos=0.072232
Step 87400: loss=0.175202, 1-cos=0.072850
Step 87600: loss=0.162617, 1-cos=0.068337
Step 87800: loss=0.173721, 1-cos=0.076325
Step 88000: loss=0.189257, 1-cos=0.080992
Step 88200: loss=0.179876, 1-cos=0.076628
Step 88400: loss=0.180408, 1-cos=0.074126
Step 88600: loss=0.175285, 1-cos=0.073886
